from_id,to_id,to_name,relationship_type,sentiment,source_column
Respondent_0,Component_48,灯具,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_2,Component_49,车尾,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_3,Component_50,后尾部,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_7,Component_407,空间,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_8,Component_175,仪表,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_9,Component_53,细节部分,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_10,Component_54,外造型,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_10,Component_55,微细节,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_13,Component_56,前脸,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_19,Component_56,前脸,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_24,Component_56,前脸,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_36,Component_56,前脸,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_37,Component_56,前脸,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_43,Component_56,前脸,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_14,Component_57,门把手,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_55,Component_57,门把手,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_16,Component_58,车身外钣金件,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_16,Component_59,接缝,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_19,Component_344,前备箱,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_22,Component_61,车顶摄像头,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_24,Component_62,侧面,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_25,Component_63,鲨鱼鳍,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_25,Component_64,后背,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_30,Component_65,车头,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_31,Component_152,车型,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_31,Component_67,颜色,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_31,Component_68,配置,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_33,Component_69,车高,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_33,Component_70,车宽,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_34,Component_135,设计,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_35,Component_72,尾部,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_39,Component_72,尾部,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_43,Component_72,尾部,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_42,Component_73,轮辋,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_46,Component_74,轮毂,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_46,Component_75,A柱,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_49,Component_76,后四窗,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_51,Component_187,亮饰条,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_52,Component_78,车身,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_53,Component_79,发盖,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_53,Component_80,分缝,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_66,Component_81,前脸灯,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_66,Component_82,保险杠,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_69,Component_83,制造工艺,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_70,Component_144,造型,MENTIONED_COMPONENT,negative,13、劣势点
Respondent_8,Component_121,置物空间,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_8,Component_191,内饰,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_8,Component_123,开关,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_9,Component_435,储物空间,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_43,Component_435,储物空间,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_10,Component_125,皮质表面,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_10,Component_126,触碰区域,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_12,Component_209,仪表台,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_16,Component_128,塑料部件,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_39,Component_128,塑料部件,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_22,Component_129,按键,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_26,Component_130,二排过道,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_33,Component_176,方向盘,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_34,Component_388,座椅,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_55,Component_388,座椅,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_36,Component_208,翻毛皮,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_39,Component_134,板块,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_43,Component_135,设计,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_43,Component_407,空间,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_46,Component_407,空间,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_46,Component_137,前排座椅,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_55,Component_138,导轨,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_55,Component_175,仪表,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_55,Component_140,三排导轨,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_55,Component_141,驾驶员信息显示系统,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_56,Component_202,内饰用料,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_67,Component_202,内饰用料,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_56,Component_143,软包区域,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_61,Component_144,造型,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_61,Component_145,风格,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_63,Component_146,副驾前方储物格,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_63,Component_147,座椅下方抽屉,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_63,Component_148,抽屉,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_66,Component_149,前排中间空调出风口,MENTIONED_COMPONENT,negative,20、劣势点
Respondent_0,Component_190,喇叭网孔,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_1,Component_191,内饰,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_13,Component_191,内饰,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_35,Component_191,内饰,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_1,Component_357,后排座椅,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_9,Component_193,金属制品,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_13,Component_194,软包,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_49,Component_194,软包,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_60,Component_194,软包,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_14,Component_195,门板开关面板,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_15,Component_196,中控台饰板,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_21,Component_197,毛织,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_24,Component_198,内饰接缝面,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_27,Component_307,按摩,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_28,Component_200,内饰布局,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_28,Component_201,内饰颜色,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_30,Component_202,内饰用料,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_30,Component_203,布料,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_30,Component_204,硬塑料,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_35,Component_204,硬塑料,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_34,Component_205,双连屏,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_42,Component_206,按键面板,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_42,Component_207,IP台,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_43,Component_208,翻毛皮,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_52,Component_209,仪表台,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_52,Component_210,镀铬饰条,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_60,Component_211,仿皮座椅,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_68,Component_212,第三排,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_69,Component_213,材质,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_70,Component_213,材质,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_69,Component_214,用料,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_70,Component_215,Console,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_70,Component_216,门板,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_70,Component_217,顶棚,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_70,Component_218,工艺,MENTIONED_COMPONENT,negative,21、劣势点
Respondent_5,Component_256,反应速度,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_5,Component_257,理解能力,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_6,Component_258,拒识,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_8,Component_259,识别准确率,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_8,Component_260,响应速度,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_9,Component_261,同质化,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_12,Component_262,唤醒率,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_12,Component_263,唤醒响应,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_21,Component_264,语音对话响应速度,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_21,Component_265,语音识别准确率,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_25,Component_266,连续对话功能,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_25,Component_267,误识别,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_31,Component_268,NFC钥匙,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_31,Component_269,UWB钥匙,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_43,Component_270,车机,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_68,Component_271,触发灵敏度,MENTIONED_COMPONENT,negative,31、劣势点
Respondent_2,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_18,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_25,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_30,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_36,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_52,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_56,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_61,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_63,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_70,Component_388,座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_2,Component_303,零重力座椅,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_2,Component_304,过道板扶手,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_2,Component_305,头枕,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_39,Component_305,头枕,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_2,Component_306,腿部支撑,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_4,Component_307,按摩,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_5,Component_308,真皮,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_5,Component_309,皮质,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_6,Component_310,承托,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_7,Component_407,空间,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_21,Component_407,空间,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_8,Component_312,腿拖,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_8,Component_313,支撑,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_14,Component_314,褶皱,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_15,Component_315,缝线,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_18,Component_316,脚托,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_19,Component_317,腿托,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_22,Component_318,按摩功能,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_22,Component_319,坐垫按摩,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_25,Component_320,包裹性,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_35,Component_320,包裹性,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_25,Component_321,坐垫,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_33,Component_321,坐垫,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_35,Component_321,坐垫,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_34,Component_322,座椅靠背,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_35,Component_323,靠背,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_42,Component_323,靠背,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_37,Component_324,后排屏幕,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_39,Component_325,扶手,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_52,Component_326,肩部,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_61,Component_327,侧板,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_65,Component_328,悬架,MENTIONED_COMPONENT,negative,59、劣势点
Respondent_4,Component_353,行李箱,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_51,Component_353,行李箱,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_8,Component_354,方向盘开关,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_25,Component_355,副驾储物盒,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_28,Component_356,副仪表置杯架,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_28,Component_357,后排座椅,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_28,Component_358,后备箱,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_60,Component_358,后备箱,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_31,Component_359,中控,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_31,Component_360,小冰箱,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_31,Component_435,储物空间,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_51,Component_435,储物空间,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_39,Component_362,三排座椅,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_49,Component_363,行李厢,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_55,Component_364,副驾储物箱,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_70,Component_365,冰箱,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_70,Component_366,console储物空间,MENTIONED_COMPONENT,negative,68、劣势点
Respondent_13,Component_419,专业性,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_52,Component_419,专业性,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_18,Component_420,常用备件,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_35,Component_421,热情度,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_35,Component_422,专业度,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_36,Component_423,接待,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_37,Component_423,接待,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_37,Component_424,车展,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_39,Component_425,试驾,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_39,Component_426,路况确认,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_42,Component_427,专业能力,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_44,Component_428,流程自动化,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_48,Component_429,专业词汇,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_51,Component_430,智驾搭载,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_52,Component_431,车展导购,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_52,Component_432,敬业度,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_54,Component_433,销售人员,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_54,Component_434,客户服务形象,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_55,Component_435,储物空间,MENTIONED_COMPONENT,negative,77、劣势点
Respondent_55,Component_436,功能,MENTIONED_COMPONENT,negative,77、劣势点
