respondent_id,name,source_column,source_file,age_group,gender,family_status,time_spent
Respondent_0,74,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,25-29岁,男,未婚/单身,1027秒
Respondent_1,75,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,女,已婚1孩,3450秒
Respondent_2,76,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,男,未婚/单身,12344秒
Respondent_3,77,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,400秒
Respondent_4,78,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚2孩/多人口,4362秒
Respondent_5,79,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,6796秒
Respondent_6,80,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,2704秒
Respondent_7,81,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,2541秒
Respondent_8,82,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,3989秒
Respondent_9,83,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,54岁及以上,男,已婚1孩,13456秒
Respondent_10,84,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,2923秒
Respondent_11,85,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,5621秒
Respondent_12,86,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚2孩/多人口,2402秒
Respondent_13,87,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,1647秒
Respondent_14,88,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,1979秒
Respondent_15,89,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,2261秒
Respondent_16,90,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,未婚/单身,3481秒
Respondent_17,91,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,1725秒
Respondent_18,92,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,54岁及以上,男,已婚1孩,2166秒
Respondent_19,93,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,757秒
Respondent_20,94,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚0孩,10144秒
Respondent_21,95,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,2189秒
Respondent_22,96,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,759秒
Respondent_23,97,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,3048秒
Respondent_24,98,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,2068秒
Respondent_25,99,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,男,未婚/单身,5025秒
Respondent_26,100,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,1141秒
Respondent_27,101,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,2416秒
Respondent_28,102,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,4371秒
Respondent_29,103,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,714秒
Respondent_30,104,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,1300秒
Respondent_31,105,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,1673秒
Respondent_32,106,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,45-49岁,男,已婚2孩/多人口,1351秒
Respondent_33,107,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,3981秒
Respondent_34,108,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,4705秒
Respondent_35,109,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,3016秒
Respondent_36,110,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,25-29岁,男,已婚0孩,920秒
Respondent_37,111,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,25-29岁,男,已婚0孩,816秒
Respondent_38,112,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,961秒
Respondent_39,113,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,25-29岁,女,未婚/单身,16668秒
Respondent_40,114,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,498秒
Respondent_41,115,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,13781秒
Respondent_42,116,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,2502秒
Respondent_43,117,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,女,已婚1孩,1684秒
Respondent_44,118,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,未婚/单身,3428秒
Respondent_45,119,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,1746秒
Respondent_46,120,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,1945秒
Respondent_47,121,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,45-49岁,女,已婚2孩/多人口,1936秒
Respondent_48,122,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,3627秒
Respondent_49,123,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,2444秒
Respondent_50,124,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,2352秒
Respondent_51,125,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,5265秒
Respondent_52,126,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,925秒
Respondent_53,127,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,1845秒
Respondent_54,128,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,25-29岁,女,未婚/单身,2683秒
Respondent_55,129,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,3082秒
Respondent_56,130,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,1676秒
Respondent_57,131,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,女,已婚1孩,1452秒
Respondent_58,132,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,2022秒
Respondent_59,133,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,45-49岁,男,已婚2孩/多人口,3632秒
Respondent_60,134,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,3237秒
Respondent_61,135,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,1915秒
Respondent_62,136,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,727秒
Respondent_63,137,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,25-29岁,女,未婚/单身,863秒
Respondent_64,138,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,女,其他,2251秒
Respondent_65,139,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,889秒
Respondent_66,140,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,7192秒
Respondent_67,141,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,13975秒
Respondent_68,142,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,866秒
Respondent_69,143,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,2053秒
Respondent_70,144,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,女,已婚1孩,4019秒
